GEOID10,COUNTYFP10,POP,WHITE,RRATIO,HS_POP,is_school,enrollment,borders,POS
420454045004,045,1899.0,714.0,0.37598736176935227,68.0,False,0,"['420454045001', '420454062011', '420454061001', '420454108002', '420454108003', '420454046002', '420454045003', '420454045002', '420454046003', '420454061002', '420454108001']","('+39.8703699', '-075.3715582')"
420454046003,045,517.0,190.0,0.36750483558994196,19.0,False,0,"['420454063002', '420454046002', '420454063001', '420454045004', '420454061002']","('+39.8631755', '-075.3741186')"
420454064022,045,488.0,119.0,0.24385245901639344,18.0,False,0,"['420454051001', '420454052001', '420454052002', '420454063003', '420454064011', '420454068011', '420454053001', '420454063001', '420454069022', '420454054001', '420454069023', '420454068022', '420454064021']","('+39.8503743', '-075.4032027')"
420454050003,045,631.0,56.0,0.08874801901743265,23.0,False,0,"['420454050001', '420454047001', '420454050002', '420454049001', '420454063001', '420454107001', '420454107002', '420454049002', '420454047002']","('+39.8509562', '-075.3612364')"
420454054001,045,842.0,203.0,0.24109263657957244,30.0,False,0,"['420454053002', '420454054002', '420454053001', '420454065001', '420454064022', '420454068022']","('+39.8395843', '-075.4025060')"
420454107001,045,1576.0,690.0,0.43781725888324874,57.0,False,0,"['420454048002', '420454107003', '420454107004', '420454043003', '420454065002', '420454050003', '420454107002', '420454107005', '420454049002']","('+39.8393389', '-075.3668003')"
420454107002,045,975.0,83.0,0.08512820512820513,35.0,False,0,"['420454050002', '420454050003', '420454107001', '420454107005', '420454051002']","('+39.8446367', '-075.3658529')"
420454107005,045,1145.0,86.0,0.07510917030567686,41.0,False,0,"['420454107003', '420454050002', '420454107001', '420454107002', '420454051002', '420454052003']","('+39.8414833', '-075.3734677')"
420454049002,045,790.0,23.0,0.02911392405063291,28.0,False,0,"['420454048002', '420454048003', '420454049001', '420454050003', '420454107001', '420454047002']","('+39.8548362', '-075.3557451')"
420454047002,045,2954.0,2084.0,0.7054840893703453,106.0,False,0,"['420454048002', '420454045001', '420454044002', '420454047001', '420454049001', '420454048001', '420454041025', '420454046001', '420454050003', '420454041024', '420454049002']","('+39.8622870', '-075.3563341')"
